other_safegraph_place_id,other_location_name,other_city,other_state,other_top_category,other_sub_category
a8da0f18ea7e44cab4d6d39f894776d0,,seymour,CT,Restaurants and Other Eating Places,Full-Service Restaurants
e1acf7b3244b42deb8489f118da69ff0,,berlin,CT,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers
a83e597fbabd48e9b5f265edacabf1c2,,north haven,CT,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores
3e97255f0e5e3f61be3221af7aad90fd,,norwalk,CT,Printing and Related Support Activities,
cfa6d651f05e414e8f863a2619d21855,,plainville,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
31cbd2c680f344d4b917d85db0e486ba,,bridgeport,CT,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
32da6c3b4bfc4b3195e0f841de800b54,,shelton,CT,Restaurants and Other Eating Places,Full-Service Restaurants
c07ce245fdcb4a87a022ec769c2b9683,,west haven,CT,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers
dc28fe8166e5444caeb9182e9fec8075,,shelton,CT,Restaurants and Other Eating Places,Full-Service Restaurants
20a456ea18e836669dc61c78b032cccf,,new hartford,CT,Health and Personal Care Stores,Pharmacies and Drug Stores
4b72c0af89864aadb89fe0ed3acbf073,,guilford,CT,Restaurants and Other Eating Places,Full-Service Restaurants
edbe7e599a3540f0b637c83aef40d62f,,guilford,CT,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
676969cd195037d49a83446d26c96536,,norwalk,CT,Other Miscellaneous Manufacturing,
8b59ff2ac3554c99b71a32485b30a805,,New Canaan,ct,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services
93d5b0d6d9344e00a60d28dca0f45e24,,Norwalk,ct,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores
605953cb31473473b4f5062d532276c7,,ansonia,CT,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores
c2fde12544f53021888ce299bf2eaf12,,vernon rockville,CT,Personal Care Services,"Hair, Nail, and Skin Care Services"
07a823d034574256a77ba9560c64e560,,hamden,CT,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
8ca3ef6aab373529b4d5ffd11176a6bf,,danbury,CT,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages)
defd58d096424b2bbb7d49d7892888f9,,bethel,CT,Restaurants and Other Eating Places,Limited-Service Restaurants
9934ed5cbea4480d85599c7a4f9df25a,,bloomfield,CT,Restaurants and Other Eating Places,Limited-Service Restaurants
69256033aeb337798cf646035130206d,,newtown,CT,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores
71bfcd4cbdc54fb1b4d14bd738e18395,,newtown,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
9f4b08b40e9a3fdd9e0986a16759e9f7,,newtown,CT,Activities Related to Real Estate,Residential Property Managers
da4b6be9326346e482b633a820fc4e03,,sandy hook,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
b3c98e92db8845cbb23e4845333869e5,,westfield,MA,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
157544f6ba183b8c9e2736b51974dc6a,,middletown,CT,Other Specialty Trade Contractors,
fe7c9493d1ba478eae90d9c392527dc7,,canton,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
8c75f17c0627319c92df0015010b456f,,northford,CT,Restaurants and Other Eating Places,Limited-Service Restaurants
